service_month,plan_key,eligible_member_months,claim_count,paid_claim_count,service_units,allowed_amount,paid_amount,allowed_pmpm,paid_pmpm,claims_per_1000,units_per_1000,allowed_per_claim
2025-01-01,1,1058,474,401,9392.5000,1976405.53,1635611.13,1868.0582,1545.9462,448.0151,8877.5992,4928.6921
2025-01-01,2,906,424,362,7656.0000,1619824.70,1336623.77,1787.8860,1475.3022,467.9912,8450.3311,4474.6539
2025-01-01,3,134,51,44,1591.0000,254037.84,209218.13,1895.8048,1561.3293,380.5970,11873.1343,5773.5873
2025-01-01,4,427,205,179,3843.0000,1103486.32,895235.57,2584.2771,2096.5704,480.0937,9000.0000,6164.7280
2025-02-01,1,2105,941,801,16506.5000,4313788.54,3552279.96,2049.3057,1687.5439,447.0309,7841.5677,5385.5038
2025-02-01,2,1748,825,727,14257.5000,3746169.96,3085829.08,2143.1178,1765.3484,471.9680,8156.4645,5152.9160
2025-02-01,3,271,118,107,2330.5000,707388.08,594213.00,2610.2881,2192.6679,435.4244,8599.6310,6611.1036
2025-02-01,4,881,395,342,6700.5000,2194755.42,1792768.16,2491.2093,2034.9241,448.3541,7605.5619,6417.4135
2025-03-01,1,3147,1386,1200,25719.5000,5863239.71,4771859.32,1863.1203,1516.3201,440.4194,8172.7042,4886.0331
2025-03-01,2,2616,1151,1018,21378.0000,5680206.08,4662899.52,2171.3326,1782.4539,439.9847,8172.0183,5579.7702
2025-03-01,3,410,192,165,2777.0000,772574.69,631482.56,1884.3285,1540.2014,468.2927,6773.1707,4682.2708
2025-03-01,4,1314,596,522,10728.5000,2811300.50,2331427.16,2139.4981,1774.2977,453.5769,8164.7641,5385.6331
2025-04-01,1,4164,1954,1722,32956.0000,9785424.10,8047371.20,2350.0058,1932.6060,469.2603,7914.5053,5682.5924
2025-04-01,2,3527,1572,1363,27969.5000,7188366.66,5908785.25,2038.0966,1675.3006,445.7046,7930.1106,5273.9301
2025-04-01,3,537,264,232,4430.0000,1360676.92,1126747.83,2533.8490,2098.2269,491.6201,8249.5345,5864.9867
2025-04-01,4,1772,829,722,14075.0000,4027850.21,3323673.98,2273.0532,1875.6625,467.8330,7943.0023,5578.7399
2025-05-01,1,4164,1879,1638,34097.5000,8884455.38,7323199.42,2133.6348,1758.6934,451.2488,8188.6407,5423.9654
2025-05-01,2,3527,1588,1396,30225.0000,7586978.91,6314626.96,2151.1140,1790.3677,450.2410,8569.6059,5434.7986
2025-05-01,3,537,260,231,5245.2500,1168777.42,953025.39,2176.4943,1774.7214,484.1713,9767.6909,5059.6425
2025-05-01,4,1772,786,683,14757.7500,3295131.98,2710752.70,1859.5553,1529.7701,443.5666,8328.3014,4824.4978
2025-06-01,1,4164,1847,1622,33299.0000,8076209.53,6651122.61,1939.5316,1597.2917,443.5639,7996.8780,4979.1674
2025-06-01,2,3527,1589,1382,27487.2500,7278563.86,6005286.05,2063.6699,1702.6612,450.5245,7793.3796,5266.6888
2025-06-01,3,537,211,188,3937.0000,806553.42,656237.61,1501.9617,1222.0440,392.9236,7331.4711,4290.1778
2025-06-01,4,1772,803,707,15296.2500,4018062.89,3307922.49,2267.5298,1866.7734,453.1603,8632.1953,5683.2573
2025-07-01,1,4157,1829,1597,29894.2500,9152868.09,7554828.17,2201.7965,1817.3751,439.9808,7191.3038,5731.2887
