payment_month,plan_key,transaction_count,payment_count,reversal_count,net_payment_cash_flow
2025-01-01,1,207,207,0,728020.61
2025-01-01,2,191,191,0,578480.42
2025-01-01,3,23,23,0,124462.19
2025-01-01,4,100,100,0,293159.60
2025-02-01,1,631,631,0,2547465.07
2025-02-01,2,566,565,1,2132991.34
2025-02-01,3,70,70,0,185651.00
2025-02-01,4,257,257,0,1487510.47
2025-03-01,1,1156,1156,0,5246655.40
2025-03-01,2,998,998,0,4173456.39
2025-03-01,3,151,151,0,819248.92
2025-03-01,4,484,484,0,2371082.67
2025-04-01,1,1581,1579,2,6055743.83
2025-04-01,2,1288,1286,2,5336034.71
2025-04-01,3,216,216,0,884800.98
2025-04-01,4,640,640,0,2657606.56
2025-05-01,1,1861,1861,0,8462690.60
2025-05-01,2,1530,1528,2,7253540.40
2025-05-01,3,271,271,0,1223492.31
2025-05-01,4,832,830,2,3726360.82
2025-06-01,1,1771,1771,0,7812150.68
2025-06-01,2,1492,1489,3,6353421.85
2025-06-01,3,202,202,0,885211.25
2025-06-01,4,711,711,0,2866733.50
2025-07-01,1,1751,1751,0,7550699.20
