service_month,plan_key,entity_type,entity_count,total_allowed_amount,top_10_allowed_amount,top_10_share,hhi
2025-01-01,1,provider,165,1976405.53,1107868.93,0.5605,0.0482
2025-01-01,1,service,20,1976405.53,1738999.25,0.8799,0.0975
2025-01-01,2,provider,165,1619824.70,940873.61,0.5808,0.0485
2025-01-01,2,service,20,1619814.70,1423361.00,0.8787,0.0952
2025-01-01,3,provider,39,254037.84,225611.51,0.8881,0.1185
2025-01-01,3,service,20,254037.84,225611.51,0.8881,0.1113
2025-01-01,4,provider,115,1103486.32,725716.37,0.6577,0.0601
2025-01-01,4,service,20,1103486.32,1004396.74,0.9102,0.1168
2025-02-01,1,provider,196,4313788.54,1971031.56,0.4569,0.0307
2025-02-01,1,service,20,4313778.54,3876647.65,0.8987,0.0961
2025-02-01,2,provider,196,3746169.96,2049876.78,0.5472,0.0392
2025-02-01,2,service,20,3746169.96,3350394.47,0.8944,0.1101
2025-02-01,3,provider,77,707388.08,543116.69,0.7678,0.0887
2025-02-01,3,service,20,707388.08,650044.73,0.9189,0.1246
2025-02-01,4,provider,153,2194755.42,1246047.23,0.5677,0.0416
2025-02-01,4,service,20,2194755.42,2019066.57,0.9200,0.1231
2025-03-01,1,provider,199,5863239.71,2710633.93,0.4623,0.0298
2025-03-01,1,service,20,5863209.71,5177336.73,0.8830,0.0935
2025-03-01,2,provider,197,5680206.08,2727917.86,0.4802,0.0323
2025-03-01,2,service,20,5680186.08,5131379.40,0.9034,0.1048
2025-03-01,3,provider,107,772574.69,513045.80,0.6641,0.0746
2025-03-01,3,service,20,772574.69,691932.64,0.8956,0.1053
2025-03-01,4,provider,179,2811300.50,1524009.42,0.5421,0.0384
2025-03-01,4,service,20,2811290.50,2546050.69,0.9057,0.0978
2025-04-01,1,provider,200,9785424.10,4925296.93,0.5033,0.0333
