reporting_month,base_month,plan_key,service_category,base_allowed_amount,current_allowed_amount,total_cost_change,price_effect,utilization_effect,mix_effect,reconciliation_residual
2026-01-01,2025-01-01,1,behavioral,114951.54,525939.45,410987.91,4179.68,392535.48,14272.74,0.00
2026-01-01,2025-01-01,1,cardiovascular,363882.50,1559031.52,1195149.02,41805.54,1034493.18,118850.30,0.00
2026-01-01,2025-01-01,1,endocrine,372311.79,1208650.45,836338.66,-96923.08,1261723.29,-328461.55,0.00
2026-01-01,2025-01-01,1,evaluation_management,321450.26,1965515.27,1644065.01,99207.51,1180519.85,364337.65,0.00
2026-01-01,2025-01-01,1,musculoskeletal,383280.15,1836019.85,1452739.70,133608.87,978153.22,340977.61,0.00
2026-01-01,2025-01-01,1,ndc,122311.57,387757.13,265445.56,-5689.05,284361.03,-13226.42,0.00
2026-01-01,2025-01-01,1,respiratory,298217.72,1857066.45,1558848.73,79490.71,1168019.40,311338.62,0.00
2026-01-01,2025-01-01,2,behavioral,101958.80,504429.99,402471.19,30785.93,285484.64,86200.62,0.00
2026-01-01,2025-01-01,2,cardiovascular,404438.06,1345403.03,940964.97,-64878.41,1198026.14,-192182.77,0.00
2026-01-01,2025-01-01,2,endocrine,100260.11,1300825.90,1200565.79,-1463.21,1219831.34,-17802.34,0.00
2026-01-01,2025-01-01,2,evaluation_management,380214.60,1523777.19,1143562.59,48131.49,972342.02,123089.08,0.00
2026-01-01,2025-01-01,2,musculoskeletal,235460.30,1398749.84,1163289.54,154035.97,610119.19,399134.38,0.00
2026-01-01,2025-01-01,2,ndc,83183.22,333554.07,250370.85,4608.55,232861.24,12901.06,0.00
2026-01-01,2025-01-01,2,respiratory,314299.61,1869185.68,1554886.07,68730.24,1219482.49,266673.34,0.00
2026-01-01,2025-01-01,3,behavioral,10118.54,66530.31,56411.77,10390.80,22705.02,23315.95,0.00
2026-01-01,2025-01-01,3,cardiovascular,58053.23,325456.29,267403.06,11937.37,211894.29,43571.40,0.00
2026-01-01,2025-01-01,3,endocrine,53422.67,154627.11,101204.44,15300.49,66778.34,19125.61,0.00
2026-01-01,2025-01-01,3,evaluation_management,21599.11,108937.29,87338.18,-1219.69,93857.95,-5300.09,0.00
2026-01-01,2025-01-01,3,musculoskeletal,46655.94,169408.38,122752.44,-24002.49,302249.35,-155494.42,0.00
2026-01-01,2025-01-01,3,ndc,16531.77,64778.01,48246.24,6145.76,30690.98,11409.50,0.00
2026-01-01,2025-01-01,3,respiratory,47656.58,164441.26,116784.68,-275.20,117739.79,-679.91,0.00
2026-01-01,2025-01-01,4,behavioral,56722.94,224427.91,167704.97,8928.47,137183.20,21593.31,0.00
2026-01-01,2025-01-01,4,cardiovascular,273030.73,959162.07,686131.34,2747.31,676576.15,6807.88,0.00
2026-01-01,2025-01-01,4,endocrine,139326.44,508989.61,369663.17,-24393.30,477690.65,-83634.18,0.00
2026-01-01,2025-01-01,4,evaluation_management,220406.98,411891.90,191484.92,-98682.42,525406.78,-235239.44,0.00
