finding_id,evidence_sequence,evidence_name,observed_value,comparison_operator,threshold_value,source_table,source_record_id
FND0000000001,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177211
FND0000000002,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177212
FND0000000003,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177213
FND0000000004,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177214
FND0000000005,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177215
FND0000000006,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177216
FND0000000007,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177217
FND0000000008,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177218
FND0000000009,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177219
FND0000000010,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177220
FND0000000011,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177221
FND0000000012,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177222
FND0000000013,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177223
FND0000000014,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177224
FND0000000015,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177225
FND0000000016,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177226
FND0000000017,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177227
FND0000000018,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177228
FND0000000019,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177229
FND0000000020,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177230
FND0000000021,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177231
FND0000000022,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177232
FND0000000023,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177233
FND0000000024,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177234
FND0000000025,1,duplicate_line_count,2,>,1,fact_claim_line,LIN000000177235
