match_id,run_id,finding_id,injection_id,rule_id,label_scope,canonical_target_id,match_status,amount_at_risk,expected_financial_exposure,evaluation_only
MAT0000000001,M05-EVAL-20260724,,INJ0000000001,PI001,claim_line,LIN000000177207,false_negative,0.00,31.76,true
MAT0000000002,M05-EVAL-20260724,,INJ0000000002,PI001,claim_line,LIN000000177208,false_negative,0.00,2726.48,true
MAT0000000003,M05-EVAL-20260724,,INJ0000000003,PI001,claim_line,LIN000000177209,false_negative,0.00,253.01,true
MAT0000000004,M05-EVAL-20260724,,INJ0000000004,PI001,claim_line,LIN000000177210,false_negative,0.00,451.04,true
MAT0000000005,M05-EVAL-20260724,FND0000000001,INJ0000000005,PI001,claim_line,LIN000000177211,true_positive,124.37,124.37,true
MAT0000000006,M05-EVAL-20260724,FND0000000002,INJ0000000006,PI001,claim_line,LIN000000177212,true_positive,509.27,509.27,true
MAT0000000007,M05-EVAL-20260724,FND0000000003,INJ0000000007,PI001,claim_line,LIN000000177213,true_positive,4347.17,4347.17,true
MAT0000000008,M05-EVAL-20260724,FND0000000004,INJ0000000008,PI001,claim_line,LIN000000177214,true_positive,53.36,53.36,true
MAT0000000009,M05-EVAL-20260724,FND0000000005,INJ0000000009,PI001,claim_line,LIN000000177215,true_positive,421.79,421.79,true
MAT0000000010,M05-EVAL-20260724,FND0000000006,INJ0000000010,PI001,claim_line,LIN000000177216,true_positive,346.06,346.06,true
MAT0000000011,M05-EVAL-20260724,FND0000000007,INJ0000000011,PI001,claim_line,LIN000000177217,true_positive,92.67,92.67,true
MAT0000000012,M05-EVAL-20260724,FND0000000008,INJ0000000012,PI001,claim_line,LIN000000177218,true_positive,219.57,219.57,true
MAT0000000013,M05-EVAL-20260724,FND0000000009,INJ0000000013,PI001,claim_line,LIN000000177219,true_positive,161.79,161.79,true
MAT0000000014,M05-EVAL-20260724,FND0000000010,INJ0000000014,PI001,claim_line,LIN000000177220,true_positive,107.77,107.77,true
MAT0000000015,M05-EVAL-20260724,FND0000000011,INJ0000000015,PI001,claim_line,LIN000000177221,true_positive,151.41,151.41,true
MAT0000000016,M05-EVAL-20260724,FND0000000012,INJ0000000016,PI001,claim_line,LIN000000177222,true_positive,122.97,122.97,true
MAT0000000017,M05-EVAL-20260724,FND0000000013,INJ0000000017,PI001,claim_line,LIN000000177223,true_positive,786.26,786.26,true
MAT0000000018,M05-EVAL-20260724,FND0000000014,INJ0000000018,PI001,claim_line,LIN000000177224,true_positive,239.41,239.41,true
MAT0000000019,M05-EVAL-20260724,FND0000000015,INJ0000000019,PI001,claim_line,LIN000000177225,true_positive,24.66,24.66,true
MAT0000000020,M05-EVAL-20260724,FND0000000016,INJ0000000020,PI001,claim_line,LIN000000177226,true_positive,149.73,149.73,true
MAT0000000021,M05-EVAL-20260724,FND0000000017,INJ0000000021,PI001,claim_line,LIN000000177227,true_positive,1306.39,1306.39,true
MAT0000000022,M05-EVAL-20260724,FND0000000018,INJ0000000022,PI001,claim_line,LIN000000177228,true_positive,156.52,156.52,true
MAT0000000023,M05-EVAL-20260724,FND0000000019,INJ0000000023,PI001,claim_line,LIN000000177229,true_positive,139.18,139.18,true
MAT0000000024,M05-EVAL-20260724,FND0000000020,INJ0000000024,PI001,claim_line,LIN000000177230,true_positive,209.74,209.74,true
MAT0000000025,M05-EVAL-20260724,FND0000000021,INJ0000000025,PI001,claim_line,LIN000000177231,true_positive,362.55,362.55,true
