provider_key,reporting_month,treatment_group,treatment_indicator,post_policy_indicator,treatment_post,event_time,eligible_member_months,claim_count,paid_pmpm,allowed_pmpm,claims_per_1000,denial_rate,review_rate
1,2025-01-01,treated,true,false,false,-12,76,6,88.1297,107.3872,78.9474,0.0000,0.0000
1,2025-02-01,treated,true,false,false,-11,139,15,102.3882,125.3199,107.9137,0.0667,0.0667
1,2025-03-01,treated,true,false,false,-10,194,18,80.2770,97.6216,92.7835,0.0556,0.0000
1,2025-04-01,treated,true,false,false,-9,246,42,166.6229,205.2846,170.7317,0.0476,0.0476
1,2025-05-01,treated,true,false,false,-8,246,27,116.5585,143.7506,109.7561,0.0370,0.0370
1,2025-06-01,treated,true,false,false,-7,246,25,119.8648,143.2310,101.6260,0.0800,0.0800
1,2025-07-01,treated,true,false,false,-6,246,19,86.9529,104.7071,77.2358,0.0526,0.1053
1,2025-08-01,treated,true,false,false,-5,245,29,94.6169,117.0340,118.3673,0.1034,0.1034
1,2025-09-01,treated,true,false,false,-4,243,34,152.0491,183.5714,139.9177,0.0294,0.0000
1,2025-10-01,treated,true,false,false,-3,241,20,76.4374,88.6287,82.9876,0.1000,0.0000
1,2025-11-01,treated,true,false,false,-2,241,33,125.9264,151.5110,136.9295,0.0303,0.0303
1,2025-12-01,treated,true,false,false,-1,238,34,151.6887,182.0918,142.8571,0.0588,0.0882
1,2026-01-01,treated,true,true,true,0,232,26,99.8356,121.0546,112.0690,0.1154,0.0385
1,2026-02-01,treated,true,true,true,1,229,24,110.2931,133.1581,104.8035,0.1667,0.0833
1,2026-03-01,treated,true,true,true,2,228,35,159.8891,194.9379,153.5088,0.0571,0.0286
1,2026-04-01,treated,true,true,true,3,224,24,125.9775,151.7626,107.1429,0.0000,0.0833
1,2026-05-01,treated,true,true,true,4,223,27,106.3725,130.6851,121.0762,0.0370,0.0741
1,2026-06-01,treated,true,true,true,5,220,23,85.9394,101.1311,104.5455,0.1304,0.0435
2,2025-01-01,comparison,false,false,false,-12,73,10,107.6282,130.5448,136.9863,0.2000,0.1000
2,2025-02-01,comparison,false,false,false,-11,136,7,61.2899,74.2513,51.4706,0.0000,0.1429
2,2025-03-01,comparison,false,false,false,-10,193,24,120.8634,149.8228,124.3523,0.0417,0.0000
2,2025-04-01,comparison,false,false,false,-9,232,26,104.2611,128.8975,112.0690,0.0769,0.0769
2,2025-05-01,comparison,false,false,false,-8,232,24,103.4466,127.1178,103.4483,0.0417,0.0417
2,2025-06-01,comparison,false,false,false,-7,232,26,134.4423,162.8284,112.0690,0.1154,0.0000
2,2025-07-01,comparison,false,false,false,-6,232,36,172.8458,209.5343,155.1724,0.0000,0.0278
