metric_id,comparison_scope,metric_type,python_value,tolerance,source_table,formula_version
SAS001,ALL,row_count,77095,0,fact_claim,1
SAS002,ALL,distinct_key_count,77095,0,fact_claim,1
SAS003,ALL,financial,350236971.70,0.01,fact_claim,1
SAS004,ALL,financial,288760492.94,0.01,fact_claim,1
SAS005,ALL,row_count,158746,0,fact_membership_month,1
SAS006,2025-01-01|1,rate,1868.0582,0.0001,monthly_cost_utilization,1
SAS007,2025-01-01|1,rate,8877.5992,0.0001,monthly_cost_utilization,1
SAS006,2025-01-01|2,rate,1787.8860,0.0001,monthly_cost_utilization,1
SAS007,2025-01-01|2,rate,8450.3311,0.0001,monthly_cost_utilization,1
SAS006,2025-01-01|3,rate,1895.8048,0.0001,monthly_cost_utilization,1
SAS007,2025-01-01|3,rate,11873.1343,0.0001,monthly_cost_utilization,1
SAS006,2025-01-01|4,rate,2584.2771,0.0001,monthly_cost_utilization,1
SAS007,2025-01-01|4,rate,9000.0000,0.0001,monthly_cost_utilization,1
SAS006,2025-02-01|1,rate,2049.3057,0.0001,monthly_cost_utilization,1
SAS007,2025-02-01|1,rate,7841.5677,0.0001,monthly_cost_utilization,1
SAS006,2025-02-01|2,rate,2143.1178,0.0001,monthly_cost_utilization,1
SAS007,2025-02-01|2,rate,8156.4645,0.0001,monthly_cost_utilization,1
SAS006,2025-02-01|3,rate,2610.2881,0.0001,monthly_cost_utilization,1
SAS007,2025-02-01|3,rate,8599.6310,0.0001,monthly_cost_utilization,1
SAS006,2025-02-01|4,rate,2491.2093,0.0001,monthly_cost_utilization,1
SAS007,2025-02-01|4,rate,7605.5619,0.0001,monthly_cost_utilization,1
SAS006,2025-03-01|1,rate,1863.1203,0.0001,monthly_cost_utilization,1
SAS007,2025-03-01|1,rate,8172.7042,0.0001,monthly_cost_utilization,1
SAS006,2025-03-01|2,rate,2171.3326,0.0001,monthly_cost_utilization,1
SAS007,2025-03-01|2,rate,8172.0183,0.0001,monthly_cost_utilization,1
