policy_assignment_id,provider_id,policy_id,treatment_group,assignment_start_date,assignment_end_date
POL0000000001,PRV000001,POLICY_2026_REVIEW,treated,2026-01-01,2026-06-30
POL0000000002,PRV000002,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000003,PRV000003,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000004,PRV000004,POLICY_2026_REVIEW,treated,2026-01-01,2026-06-30
POL0000000005,PRV000005,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000006,PRV000006,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000007,PRV000007,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000008,PRV000008,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000009,PRV000009,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000010,PRV000010,POLICY_2026_REVIEW,treated,2026-01-01,2026-06-30
POL0000000011,PRV000011,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000012,PRV000012,POLICY_2026_REVIEW,treated,2026-01-01,2026-06-30
POL0000000013,PRV000013,POLICY_2026_REVIEW,treated,2026-01-01,2026-06-30
POL0000000014,PRV000014,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000015,PRV000015,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000016,PRV000016,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000017,PRV000017,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000018,PRV000018,POLICY_2026_REVIEW,treated,2026-01-01,2026-06-30
POL0000000019,PRV000019,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000020,PRV000020,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000021,PRV000021,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000022,PRV000022,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000023,PRV000023,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000024,PRV000024,POLICY_2026_REVIEW,comparison,2026-01-01,2026-06-30
POL0000000025,PRV000025,POLICY_2026_REVIEW,treated,2026-01-01,2026-06-30
