contract_id,provider_id,plan_id,effective_date,termination_date,reimbursement_method
CON00000001,PRV000001,PLN0001,2025-01-01,,case_rate
CON00000002,PRV000001,PLN0002,2025-01-01,,fee_schedule
CON00000003,PRV000001,PLN0003,2025-01-01,,fee_schedule
CON00000004,PRV000001,PLN0004,2025-01-01,,fee_schedule
CON00000005,PRV000002,PLN0001,2025-01-01,,case_rate
CON00000006,PRV000002,PLN0002,2025-01-01,,case_rate
CON00000007,PRV000002,PLN0003,2025-01-01,,fee_schedule
CON00000008,PRV000002,PLN0004,2025-01-01,,fee_schedule
CON00000009,PRV000003,PLN0001,2025-01-01,,case_rate
CON00000010,PRV000003,PLN0002,2025-01-01,,fee_schedule
CON00000011,PRV000003,PLN0003,2025-01-01,,fee_schedule
CON00000012,PRV000003,PLN0004,2025-01-01,,fee_schedule
CON00000013,PRV000004,PLN0001,2025-01-01,,fee_schedule
CON00000014,PRV000004,PLN0002,2025-01-01,,fee_schedule
CON00000015,PRV000004,PLN0003,2025-01-01,,fee_schedule
CON00000016,PRV000004,PLN0004,2025-01-01,,fee_schedule
CON00000017,PRV000005,PLN0001,2025-01-01,,case_rate
CON00000018,PRV000005,PLN0002,2025-01-01,,fee_schedule
CON00000019,PRV000005,PLN0003,2025-01-01,,fee_schedule
CON00000020,PRV000005,PLN0004,2025-01-01,,fee_schedule
CON00000021,PRV000006,PLN0001,2025-01-01,,fee_schedule
CON00000022,PRV000006,PLN0002,2025-01-01,,case_rate
CON00000023,PRV000006,PLN0003,2025-01-01,,fee_schedule
CON00000024,PRV000006,PLN0004,2025-01-01,,fee_schedule
CON00000025,PRV000007,PLN0001,2025-01-01,,fee_schedule
