provider_id,provider_entity_type,specialty_group,state_code,calibration_source_id,calibration_version,synthetic_record
PRV000001,organization,pharmacy_prescriber,MA,cms_part_d_provider_summary,2019-2024,true
PRV000002,individual,pharmacy_prescriber,TX,cms_part_d_provider_summary,2019-2024,true
PRV000003,organization,outpatient_facility,CA,cms_outpatient_provider_service,2019-2023-published-periods,true
PRV000004,organization,primary_care,NY,cms_physician_provider_summary,2019-2024,true
PRV000005,individual,orthopedics,NC,cms_physician_provider_service,2019-2024,true
PRV000006,individual,orthopedics,TX,cms_physician_provider_service,2019-2024,true
PRV000007,individual,primary_care,FL,cms_physician_provider_summary,2019-2024,true
PRV000008,individual,pharmacy_prescriber,FL,cms_part_d_provider_summary,2019-2024,true
PRV000009,individual,behavioral_health,WA,cms_physician_provider_summary,2019-2024,true
PRV000010,individual,orthopedics,IL,cms_physician_provider_service,2019-2024,true
PRV000011,individual,pharmacy_prescriber,CA,cms_part_d_provider_summary,2019-2024,true
PRV000012,organization,primary_care,NY,cms_physician_provider_summary,2019-2024,true
PRV000013,organization,inpatient_facility,MI,cms_inpatient_provider_service,2019-2024,true
PRV000014,organization,outpatient_facility,CA,cms_outpatient_provider_service,2019-2023-published-periods,true
PRV000015,organization,outpatient_facility,TX,cms_outpatient_provider_service,2019-2023-published-periods,true
PRV000016,individual,primary_care,NC,cms_physician_provider_summary,2019-2024,true
PRV000017,organization,outpatient_facility,FL,cms_outpatient_provider_service,2019-2023-published-periods,true
PRV000018,individual,orthopedics,PA,cms_physician_provider_service,2019-2024,true
PRV000019,organization,cardiology,WA,cms_physician_provider_service,2019-2024,true
PRV000020,organization,outpatient_facility,WA,cms_outpatient_provider_service,2019-2023-published-periods,true
PRV000021,individual,pharmacy_prescriber,FL,cms_part_d_provider_summary,2019-2024,true
PRV000022,individual,behavioral_health,TX,cms_physician_provider_summary,2019-2024,true
PRV000023,individual,primary_care,WA,cms_physician_provider_summary,2019-2024,true
PRV000024,individual,primary_care,FL,cms_physician_provider_summary,2019-2024,true
PRV000025,individual,behavioral_health,PA,cms_physician_provider_summary,2019-2024,true
