table_name,row_count,content_sha256,schema_sha256,baseline_contract_version
member,10000,14bedb39a85e64b080ce02a2943c7a56927bcba9cdcba34209051e31fd6047c0,9f35766471650aac2a11ec5472357820fe262221f2fa96f254d158ab61fba31e,1
plan,4,6ccdc459e23da938454fe1667e210ae691eeacb4c32975a1fc874c0d01917b9b,f2079b6aeffcbec77966f7f6b1a1334b6817487f31bbb81e5c84775ce0e69dcb,1
provider,200,8be44f2eab34929e6a22873ab705c49324aeec314937bed252899cb5a99ae85b,e0583c17a542e47de5a0e84f1b12f76ce84cf62b3f951d90b1d46480ed63ce77,1
provider_contract,800,d6e0918c555b503dadb5ff4fee178019fe17fa044d2561269514ac9df30c0505,1587d1ab491994a5c84dabab22b47ddf6764bcdb96df31810cc1d0b94098c6af,1
membership_month,158746,6d5a03332c3ac84ea2d9c0bcbbc9c84ced1973fe71acbaaf143105d17090ddb3,65587c1e38c1447831a5962a0caa5eaf13669ab46e734f41ccb2a1532bdc1dea,1
claim_header,75000,4c50383d8b1329c173fab089330b2be71bc2b3679535d6e73afc4874c347961b,4552c086517a381d4f152a7b35039da50ce730d70b34d09e89ea04e47d4da301,1
claim_line,177206,2e5c455eafdc306cfca51d21a1881a36d12cab23a538b3534d75258860292a75,c789295b174b0e86962d7b46ec8c3d5410b38aed8ce50eb07a97dce55cb02f2d,1
adjudication_event,150000,493fadb93e6c11a2cd4f68d90f34c2034390ea85af51907dc31d47ba0e19bb24,73d9dd039b5a865670f7c963e082916f88d4efc481e54d725921235db4f05f19,1
payment_transaction,68877,710347f72c0ff880d30e2571fb251c3992ac7dec8177af8a088b2e72408c55eb,b9f7d8db0f3244154c20c0b8c02d7434196455b4fd291b08bd2b777a1e3b4c02,1
claim_review,3748,c43d242b0c00eb5e19992f70589465d822885857d167711bff4063a45d0fa2f7,0585eeef42a1f0585f73e575e1ef6f91b5aa3c08932597a854d1a3a92a1833e3,1
denial_outcome,6123,fff593f07ba03700ba8be4aa385ebbb3a2af65b00c08a4fff4d02c83d3f12a15,17b86755672aee5adde0dd4d61ff2e35659992345ea5919c8bfea23e940f4997,1
policy_assignment,200,041af6982827f4d840ff068a7fd7184e50003b5435b752f2f7e434e0b9aec5ac,86159f93c11bf23a5bc0b723fb721b638e4cd54202ba97f53efd06f0dd7cc936,1
audit_outcome,3748,31becb3c087a8f9b31d7af9d4b3a343083c19a1e3cda18e2afbf5af370a55e59,4fba522119e0de0b27d7fabef128a8df1551f574208531600a705cd86dbaf232,1
recovery_transaction,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,0fbb3f570d171360e865316d8a133315c9a6c18de9d4f8d05a96301cb15eeba0,1
