provider_policy_key,provider_key,assignment_start_date_key,assignment_end_date_key,policy_assignment_id,policy_id,treatment_group
1,1,366,546,POL0000000001,POLICY_2026_REVIEW,treated
2,2,366,546,POL0000000002,POLICY_2026_REVIEW,comparison
3,3,366,546,POL0000000003,POLICY_2026_REVIEW,comparison
4,4,366,546,POL0000000004,POLICY_2026_REVIEW,treated
5,5,366,546,POL0000000005,POLICY_2026_REVIEW,comparison
6,6,366,546,POL0000000006,POLICY_2026_REVIEW,comparison
7,7,366,546,POL0000000007,POLICY_2026_REVIEW,comparison
8,8,366,546,POL0000000008,POLICY_2026_REVIEW,comparison
9,9,366,546,POL0000000009,POLICY_2026_REVIEW,comparison
10,10,366,546,POL0000000010,POLICY_2026_REVIEW,treated
11,11,366,546,POL0000000011,POLICY_2026_REVIEW,comparison
12,12,366,546,POL0000000012,POLICY_2026_REVIEW,treated
13,13,366,546,POL0000000013,POLICY_2026_REVIEW,treated
14,14,366,546,POL0000000014,POLICY_2026_REVIEW,comparison
15,15,366,546,POL0000000015,POLICY_2026_REVIEW,comparison
16,16,366,546,POL0000000016,POLICY_2026_REVIEW,comparison
17,17,366,546,POL0000000017,POLICY_2026_REVIEW,comparison
18,18,366,546,POL0000000018,POLICY_2026_REVIEW,treated
19,19,366,546,POL0000000019,POLICY_2026_REVIEW,comparison
20,20,366,546,POL0000000020,POLICY_2026_REVIEW,comparison
21,21,366,546,POL0000000021,POLICY_2026_REVIEW,comparison
22,22,366,546,POL0000000022,POLICY_2026_REVIEW,comparison
23,23,366,546,POL0000000023,POLICY_2026_REVIEW,comparison
24,24,366,546,POL0000000024,POLICY_2026_REVIEW,comparison
25,25,366,546,POL0000000025,POLICY_2026_REVIEW,treated
