date_key,calendar_date,calendar_year,calendar_quarter,calendar_month,month_start_date,year_month,policy_period
1,2025-01-01,2025,1,1,2025-01-01,2025-01,pre_policy
2,2025-01-02,2025,1,1,2025-01-01,2025-01,pre_policy
3,2025-01-03,2025,1,1,2025-01-01,2025-01,pre_policy
4,2025-01-04,2025,1,1,2025-01-01,2025-01,pre_policy
5,2025-01-05,2025,1,1,2025-01-01,2025-01,pre_policy
6,2025-01-06,2025,1,1,2025-01-01,2025-01,pre_policy
7,2025-01-07,2025,1,1,2025-01-01,2025-01,pre_policy
8,2025-01-08,2025,1,1,2025-01-01,2025-01,pre_policy
9,2025-01-09,2025,1,1,2025-01-01,2025-01,pre_policy
10,2025-01-10,2025,1,1,2025-01-01,2025-01,pre_policy
11,2025-01-11,2025,1,1,2025-01-01,2025-01,pre_policy
12,2025-01-12,2025,1,1,2025-01-01,2025-01,pre_policy
13,2025-01-13,2025,1,1,2025-01-01,2025-01,pre_policy
14,2025-01-14,2025,1,1,2025-01-01,2025-01,pre_policy
15,2025-01-15,2025,1,1,2025-01-01,2025-01,pre_policy
16,2025-01-16,2025,1,1,2025-01-01,2025-01,pre_policy
17,2025-01-17,2025,1,1,2025-01-01,2025-01,pre_policy
18,2025-01-18,2025,1,1,2025-01-01,2025-01,pre_policy
19,2025-01-19,2025,1,1,2025-01-01,2025-01,pre_policy
20,2025-01-20,2025,1,1,2025-01-01,2025-01,pre_policy
21,2025-01-21,2025,1,1,2025-01-01,2025-01,pre_policy
22,2025-01-22,2025,1,1,2025-01-01,2025-01,pre_policy
23,2025-01-23,2025,1,1,2025-01-01,2025-01,pre_policy
24,2025-01-24,2025,1,1,2025-01-01,2025-01,pre_policy
25,2025-01-25,2025,1,1,2025-01-01,2025-01,pre_policy
