provider_key,provider_id,provider_entity_type,specialty_group,state_code,calibration_source_id,calibration_version,synthetic_record
1,PRV000001,organization,pharmacy_prescriber,MA,cms_part_d_provider_summary,2019-2024,true
2,PRV000002,individual,pharmacy_prescriber,TX,cms_part_d_provider_summary,2019-2024,true
3,PRV000003,organization,outpatient_facility,CA,cms_outpatient_provider_service,2019-2023-published-periods,true
4,PRV000004,organization,primary_care,NY,cms_physician_provider_summary,2019-2024,true
5,PRV000005,individual,orthopedics,NC,cms_physician_provider_service,2019-2024,true
6,PRV000006,individual,orthopedics,TX,cms_physician_provider_service,2019-2024,true
7,PRV000007,individual,primary_care,FL,cms_physician_provider_summary,2019-2024,true
8,PRV000008,individual,pharmacy_prescriber,FL,cms_part_d_provider_summary,2019-2024,true
9,PRV000009,individual,behavioral_health,WA,cms_physician_provider_summary,2019-2024,true
10,PRV000010,individual,orthopedics,IL,cms_physician_provider_service,2019-2024,true
11,PRV000011,individual,pharmacy_prescriber,CA,cms_part_d_provider_summary,2019-2024,true
12,PRV000012,organization,primary_care,NY,cms_physician_provider_summary,2019-2024,true
13,PRV000013,organization,inpatient_facility,MI,cms_inpatient_provider_service,2019-2024,true
14,PRV000014,organization,outpatient_facility,CA,cms_outpatient_provider_service,2019-2023-published-periods,true
15,PRV000015,organization,outpatient_facility,TX,cms_outpatient_provider_service,2019-2023-published-periods,true
16,PRV000016,individual,primary_care,NC,cms_physician_provider_summary,2019-2024,true
17,PRV000017,organization,outpatient_facility,FL,cms_outpatient_provider_service,2019-2023-published-periods,true
18,PRV000018,individual,orthopedics,PA,cms_physician_provider_service,2019-2024,true
19,PRV000019,organization,cardiology,WA,cms_physician_provider_service,2019-2024,true
20,PRV000020,organization,outpatient_facility,WA,cms_outpatient_provider_service,2019-2023-published-periods,true
21,PRV000021,individual,pharmacy_prescriber,FL,cms_part_d_provider_summary,2019-2024,true
22,PRV000022,individual,behavioral_health,TX,cms_physician_provider_summary,2019-2024,true
23,PRV000023,individual,primary_care,WA,cms_physician_provider_summary,2019-2024,true
24,PRV000024,individual,primary_care,FL,cms_physician_provider_summary,2019-2024,true
25,PRV000025,individual,behavioral_health,PA,cms_physician_provider_summary,2019-2024,true
