service_key,service_code_system,service_code,service_category
1,APC,5012,evaluation_management
2,APC,5072,cardiovascular
3,APC,5112,musculoskeletal
4,APC,5523,respiratory
5,APC,8011,behavioral
6,HCPCS,90834,behavioral
7,HCPCS,93000,cardiovascular
8,HCPCS,97110,musculoskeletal
9,HCPCS,99213,evaluation_management
10,HCPCS,99214,evaluation_management
11,MS-DRG,291,cardiovascular
12,MS-DRG,392,evaluation_management
13,MS-DRG,470,musculoskeletal
14,MS-DRG,690,endocrine
15,MS-DRG,871,respiratory
16,NDC,00078150610,ndc
17,NDC,00093010498,ndc
18,NDC,00185010401,ndc
19,NDC,00378459777,ndc
20,NDC,00591027101,ndc
